Query Acc.ver,Subject Acc.ver,Per. identity,Alignment Length,Mismatches,Gap Opens,Q. start,Q. end,S. start,S. end,E value,Bit Score
gene0387,CP054425.1,100,345,0,0,1,345,1756527,1756183,3.64E-178,638
gene0388,CP054425.1,100,810,0,0,1,810,1757405,1756596,0,1496
gene0389,CP054425.1,100,870,0,0,1,870,1758352,1757483,0,1607
gene0390,CP054425.1,100,195,0,0,1,195,1758558,1758364,4.57E-95,361
gene0391,CP054425.1,100,1473,0,0,1,1473,1760379,1758907,0,2721
gene0392,CP054425.1,100,1239,0,0,1,1239,1761793,1760555,0,2289
gene0393,CP054425.1,100,513,0,0,1,513,1762388,1761876,0,948
gene0394,CP054425.1,100,945,0,0,1,945,1763329,1762385,0,1746
gene0395,CP054425.1,100,1224,0,0,1,1224,1764617,1763394,0,2261
gene0396,CP054425.1,100,945,0,0,1,945,1765623,1764679,0,1746
gene0397,CP054425.1,100,1176,0,0,1,1176,1766947,1765772,0,2172
gene0398,CP054425.1,100,1095,0,0,1,1095,1768038,1766944,0,2023
gene0399,CP054425.1,100,687,0,0,1,687,1768823,1768137,0,1269
gene0400,CP054425.1,100,2610,0,0,1,2610,1771463,1768854,0,4820
gene0401,CP054425.1,100,1053,0,0,1,1053,1772523,1771471,0,1945
gene0402,CP054425.1,100,879,0,0,1,879,1773470,1772592,0,1624
gene0403,CP054425.1,100,828,0,0,1,828,1774398,1773571,0,1530
gene0404,CP054425.1,100,1476,0,0,1,1476,1775870,1774395,0,2726
gene0405,CP054425.1,100,669,0,0,1,669,1776538,1775870,0,1236
gene0406,CP054425.1,100,1368,0,0,1,1368,1778137,1776770,0,2527
gene0407,CP054425.1,100,624,0,0,1,624,1778229,1778852,0,1153
gene0408,CP054425.1,100,1491,0,0,1,1491,1779001,1780491,0,2754
gene0409,CP054425.1,100,786,0,0,1,786,1780572,1781357,0,1452
gene0410,CP054425.1,100,1437,0,0,1,1437,1781677,1783113,0,2654
gene0411,CP054425.1,100,276,0,0,1,276,1783466,1783191,6.43E-140,510
gene0412,CP054425.1,100,1089,0,0,1,1089,1784662,1783574,0,2012
gene0413,CP054425.1,100,174,0,0,1,174,1785027,1784854,1.87E-83,322
gene0414,CP054425.1,100,312,0,0,1,312,1785380,1785069,7.19E-160,577
gene0415,CP054425.1,100,540,0,0,1,540,1785959,1785420,0,998
gene0416,CP054425.1,100,120,0,0,1,120,1786097,1786216,1.19E-53,222
gene0417,CP054425.1,100,708,0,0,1,708,1787072,1786365,0,1308
gene0418,CP054425.1,100,1359,0,0,1,1359,1788676,1787318,0,2510
gene0419,CP054425.1,100,2589,0,0,1,2589,1791322,1788734,0,4782
gene0420,CP054425.1,100,153,0,0,1,153,1791366,1791518,7.50E-72,283
gene0421,CP054425.1,100,1695,0,0,1,1695,1793366,1791672,0,3131
gene0422,CP054425.1,100,825,0,0,1,825,1794661,1793837,0,1524
gene0423,CP054425.1,100,744,0,0,1,744,1794831,1795574,0,1375
gene0424,CP054425.1,100,597,0,0,1,597,1795648,1796244,0,1103
gene0425,CP054425.1,100,324,0,0,1,324,1796697,1796374,1.60E-166,599
gene0426,CP054425.1,100,1362,0,0,1,1362,1798324,1796963,0,2516
gene0427,CP054425.1,100,2166,0,0,1,2166,1800906,1798741,0,4000
gene0428,CP054425.1,100,702,0,0,1,702,1801761,1801060,0,1297
gene0429,CP054425.1,100,624,0,0,1,624,1802357,1801734,0,1153
gene0430,CP054425.1,100,222,0,0,1,222,2227169,2226948,5.20E-110,411
gene0431,CP054425.1,100,819,0,0,1,819,2226893,2226075,0,1513
gene0432,CP054425.1,100,738,0,0,1,738,2225863,2225126,0,1363
gene0433,CP054425.1,100,270,0,0,1,270,2224935,2224666,1.36E-136,499
gene0434,CP137052.1,100,78,0,0,2374,2451,276100,276177,8.58E-29,145
gene0435,CP054425.1,100,1395,0,0,1,1395,2219630,2221024,0,2577
gene0436,CP054425.1,100,756,0,0,1,756,2219375,2218620,0,1397
gene0437,CP054425.1,100,522,0,0,1,522,2218351,2217830,0,965
gene0438,CP054425.1,100,381,0,0,1,381,2217721,2217341,0,704
gene0439,CP054425.1,100,1392,0,0,1,1392,2217089,2215698,0,2571
gene0440,CP054425.1,100,3624,0,0,1,3624,2215689,2212066,0,6693
gene0441,CP054425.1,100,201,0,0,1,201,2212063,2211863,2.19E-98,372
gene0442,CP054425.1,100,570,0,0,1,570,2211199,2211768,0,1053
gene0443,CP054425.1,100,186,0,0,1,186,2210777,2210962,4.34E-90,344
gene0444,CP054425.1,100,252,0,0,1,252,2210325,2210576,1.27E-126,466
gene0445,CP054425.1,100,222,0,0,1,222,2210236,2210015,5.20E-110,411
gene0446,CP054425.1,100,648,0,0,1,648,2209752,2209105,0,1197
gene0447,CP054425.1,99.787,1407,0,1,1,1404,2208994,2207588,0,2579
gene0448,CP054425.1,100,294,0,0,1,294,2207415,2207122,6.81E-150,544
gene0449,CP054425.1,100,363,0,0,1,363,2206041,2206403,0,671
gene0450,CP054425.1,100,117,0,0,1,117,2206031,2205915,5.36E-52,217
gene0454,CP054425.1,100,174,0,0,1,174,2205298,2205125,1.87E-83,322
gene0455,CP054425.1,100,1224,0,0,1,1224,2204914,2203691,0,2261
gene0456,CP054425.1,100,1527,0,0,1,1527,2203540,2202014,0,2820
gene0457,CP054425.1,100,294,0,0,1,294,2201926,2201633,6.81E-150,544
gene0458,CP054425.1,100,1236,0,0,1,1236,2201518,2200283,0,2283
gene0459,CP054425.1,100,1434,0,0,1,1434,2198823,2200256,0,2649
gene0460,CP054425.1,100,117,0,0,1,117,2198741,2198625,5.36E-52,217
gene0462,CP054425.1,100,1026,0,0,1,1026,2198323,2197298,0,1895
gene0463,CP054425.1,100,642,0,0,1,642,2197236,2196595,0,1186
gene0464,CP054425.1,100,732,0,0,1,732,2196587,2195856,0,1352
gene0465,CP054425.1,100,1734,0,0,1,1734,2195688,2193955,0,3203
gene0466,CP054425.1,100,435,0,0,1,435,2193958,2193524,0,804
gene0467,CP054425.1,100,450,0,0,1,450,2193127,2192678,0,832
gene0468,CP054425.1,100,492,0,0,1,492,2192655,2192164,0,909
gene0469,CP054425.1,100,2526,0,0,1,2526,2189548,2192073,0,4665
gene0470,CP054425.1,100,1170,0,0,1,1170,2188367,2189536,0,2161
gene0471,CP054425.1,100,2730,0,0,1,2730,2187828,2185099,0,5042
gene0472,CP054425.1,100,114,0,0,1,114,2184357,2184244,2.40E-50,211
gene0473,CP054425.1,100,714,0,0,1,714,2183295,2184008,0,1319
gene0474,CP054425.1,100,309,0,0,1,309,2182827,2182519,3.31E-158,571
gene0475,CP054425.1,100,642,0,0,1,642,2182502,2181861,0,1186
gene0476,CP054425.1,100,657,0,0,1,657,2181854,2181198,0,1214
gene0477,CP054425.1,100,297,0,0,1,297,2181192,2180896,1.48E-151,549
gene0478,CP054425.1,100,831,0,0,1,831,2180859,2180029,0,1535
gene0479,CP054425.1,100,237,0,0,1,237,2179971,2179735,2.58E-118,438
gene0480,CP054425.1,100,327,0,0,1,327,2179685,2179359,3.48E-168,604
gene0481,CP054425.1,100,804,0,0,1,804,2179356,2178553,0,1485
gene0482,CP054425.1,100,420,0,0,1,420,2178546,2178127,0,776
gene0483,CP054425.1,100,252,0,0,1,252,2178127,2177876,1.27E-126,466
gene0484,CP054425.1,100,261,0,0,1,261,2177873,2177613,1.31E-131,483
gene0485,CP054425.1,100,369,0,0,1,369,2177518,2177150,0,682
gene0486,CP054425.1,100,336,0,0,1,336,2177148,2176813,3.56E-173,621
gene0487,CP054425.1,100,573,0,0,1,573,2176816,2176244,0,1059
gene0488,CP054425.1,100,186,0,0,1,186,2176242,2176057,4.34E-90,344
gene0489,CP054425.1,100,372,0,0,1,372,2175940,2175569,0,688
gene0490,CP054425.1,100,540,0,0,1,540,2175551,2175012,0,998
gene0491,CP054425.1,100,372,0,0,1,372,2175010,2174639,0,688
gene0492,CP054425.1,100,732,0,0,1,732,2174642,2173911,0,1352
gene0493,CP054425.1,100,186,0,0,1,186,2173905,2173720,4.34E-90,344
gene0494,CP054425.1,100,453,0,0,1,453,2173717,2173265,0,837
gene0495,CP054425.1,100,1302,0,0,1,1302,2172955,2171654,0,2405
gene0496,CP054425.1,100,561,0,0,1,561,2171484,2170924,0,1037
gene0497,CP054425.1,100,219,0,0,1,219,2170747,2170529,2.38E-108,405
gene0498,CP054425.1,100,114,0,0,1,114,2170505,2170392,2.40E-50,211
gene0499,CP054425.1,100,378,0,0,1,378,2170243,2169866,0,699
gene0500,CP054425.1,100,399,0,0,1,399,2169779,2169381,0,737
gene0501,CP054425.1,100,996,0,0,1,996,2169300,2168305,0,1840
gene0502,CP054425.1,100,447,0,0,1,447,2168148,2167702,0,826
gene0503,CP054425.1,100,912,0,0,1,912,2166711,2167622,0,1685
gene0504,CP054425.1,100,258,0,0,1,258,2166457,2166714,6.03E-130,477
gene0505,CP054425.1,100,2181,0,0,1,2181,2166489,2164309,0,4028
gene0506,CP054425.1,100,789,0,0,1,789,2164092,2163304,0,1458
gene0507,CP054425.1,100,1233,0,0,1,1233,2162857,2161625,0,2278
gene0509,CP054425.1,100,144,0,0,1,144,2161309,2161166,6.98E-67,267
gene0510,CP054425.1,100,912,0,0,1,912,2160747,2159836,0,1685
gene0511,CP054425.1,100,978,0,0,1,978,2159836,2158859,0,1807
gene0512,CP054425.1,100,168,0,0,1,168,2158666,2158833,3.88E-80,311
gene0513,CP054425.1,100,1278,0,0,1,1278,2158640,2157363,0,2361
gene0514,CP054425.1,100,222,0,0,1,222,2157275,2157054,5.20E-110,411
gene0515,CP054425.1,100,708,0,0,1,708,2155737,2156444,0,1308
gene0516,CP054425.1,100,1068,0,0,1,1068,2155508,2154441,0,1973
gene0517,CP054425.1,100,2389,0,0,660,3048,2153602,2151214,0,4412
gene0518,CP054425.1,100,501,0,0,1,501,2151063,2150563,0,926
gene0519,CP054425.1,100,1164,0,0,1,1164,2150464,2149301,0,2150
gene0520,CP054425.1,100,1125,0,0,1,1125,2149203,2148079,0,2078
gene0521,CP054425.1,100,1317,0,0,1,1317,2146748,2148064,0,2433
gene0522,CP054425.1,100,579,0,0,1,579,2146344,2145766,0,1070
gene0523,CP054425.1,100,699,0,0,1,699,2144633,2145331,0,1291
gene0524,CP054425.1,100,837,0,0,1,837,2143666,2144502,0,1546
gene0525,CP054425.1,100,153,0,0,1,153,2143291,2143139,7.50E-72,283
gene0526,CP054425.1,100,1605,0,0,1,1605,2141376,2142980,0,2964
gene0527,CP054425.1,100,192,0,0,1,192,2141404,2141213,2.08E-93,355
gene0528,CP054425.1,100,426,0,0,1,426,2140772,2141197,0,787
gene0529,CP054425.1,100,1098,0,0,1,1098,2140541,2139444,0,2028
gene0530,CP054425.1,100,1677,0,0,1,1677,2137052,2138728,0,3097
gene0531,CP054425.1,100,114,0,0,1,114,2136545,2136658,2.40E-50,211
gene0532,CP054425.1,100,2091,0,0,1,2091,2136556,2134466,0,3862
gene0533,CP054425.1,100,894,0,0,1,894,2134414,2133521,0,1652
gene0534,CP054425.1,100,1182,0,0,1,1182,2132338,2133519,0,2183
gene0535,CP054425.1,100,1287,0,0,1,1287,2132104,2130818,0,2377
gene0537,CP054425.1,100,2256,0,0,1,2256,2129993,2127738,0,4167
gene0538,CP054425.1,100,1080,0,0,1,1080,2127710,2126631,0,1995
gene0539,CP054425.1,100,1548,0,0,1,1548,2126581,2125034,0,2859
gene0540,CP054425.1,100,1023,0,0,1,1023,2124965,2123943,0,1890
gene0541,CP054425.1,100,696,0,0,1,696,2123200,2123895,0,1286
gene0542,CP054425.1,100,1284,0,0,1,1284,2121920,2123203,0,2372
gene0543,CP054425.1,100,126,0,0,1,126,2121227,2121352,5.91E-57,233
gene0544,CP054425.1,100,996,0,0,1,996,2121098,2120103,0,1840
gene0545,CP054425.1,100,723,0,0,1,723,2120106,2119384,0,1336
gene0546,CP054425.1,100,1554,0,0,1,1554,2119248,2117695,0,2870
gene0547,CP054425.1,100,648,0,0,1,648,2116898,2117545,0,1197
gene0548,CP054425.1,100,2061,0,0,1,2061,2114782,2116842,0,3807
gene0549,CP054425.1,100,3540,0,0,1,3540,2110977,2114516,0,6538
gene0550,CP054425.1,100,1188,0,0,1,1188,2109596,2110783,0,2194
gene0552,CP054425.1,100,1680,0,0,1,1680,2109098,2107419,0,3103
gene0553,CP054425.1,100,441,0,0,1,441,2106882,2107322,0,815
gene0554,CP054425.1,100,180,0,0,1,180,2106659,2106838,9.02E-87,333
gene0555,CP054425.1,100,339,0,0,1,339,2106194,2106532,7.72E-175,627
gene0556,CP054425.1,100,120,0,0,1,120,2105862,2105981,1.19E-53,222
gene0557,CP054425.1,100,687,0,0,1,687,2105837,2105151,0,1269
gene0558,CP054425.1,100,1305,0,0,1,1305,2105167,2103863,0,2410
gene0559,CP054425.1,100,1044,0,0,1,1044,2103637,2102594,0,1929
gene0560,CP054425.1,100,282,0,0,1,282,2102101,2102382,3.04E-143,521
gene0561,CP054425.1,100,681,0,0,1,681,2101328,2100648,0,1258
gene0562,CP054425.1,100,1215,0,0,1,1215,2100670,2099456,0,2244
gene0563,CP054425.1,100,741,0,0,1,741,2099302,2098562,0,1369
gene0564,CP054425.1,100,675,0,0,1,675,2097472,2098146,0,1247
gene0565,CP054425.1,100,1194,0,0,1,1194,2097281,2096088,0,2206
gene0566,CP054425.1,100,195,0,0,1,195,2095887,2096081,4.57E-95,361
gene0567,CP054425.1,100,1143,0,0,1,1143,2094554,2095696,0,2111
gene0568,CP054425.1,100,957,0,0,1,957,2094161,2093205,0,1768
gene0569,CP054425.1,100,645,0,0,1,645,2092890,2092246,0,1192
gene0570,CP054425.1,100,738,0,0,1,738,2092091,2091354,0,1363
gene0571,CP054425.1,100,1086,0,0,1,1086,2091231,2090146,0,2006
gene0572,CP054425.1,100,414,0,0,1,414,2089631,2090044,0,765
gene0573,CP054425.1,100,801,0,0,1,801,2089431,2088631,0,1480
gene0574,CP054425.1,100,555,0,0,1,555,2088413,2087859,0,1026
gene0575,CP054425.1,100,519,0,0,1,519,2087735,2087217,0,959
gene0576,CP054425.1,100,636,0,0,1,636,2086421,2087056,0,1175
gene0577,CP054425.1,100,1224,0,0,1,1224,2085185,2086408,0,2261
gene0578,CP054425.1,100,1275,0,0,1,1275,2083914,2085188,0,2355
gene0579,CP054425.1,100,1221,0,0,1,1221,2082285,2083505,0,2255
gene0580,CP054425.1,100,285,0,0,1,285,2081723,2082007,6.62E-145,527
gene0581,CP054425.1,100,1770,0,0,1,1770,2081427,2079658,0,3269
gene0582,CP054425.1,100,987,0,0,1,987,2078579,2079565,0,1823
gene0583,CP054425.1,100,678,0,0,1,678,2077878,2078555,0,1253
gene0584,CP054425.1,100,2115,0,0,1,2115,2075678,2077792,0,3906
gene0585,CP054425.1,100,183,0,0,1,183,2075671,2075489,1.98E-88,339
gene0586,CP054425.1,100,723,0,0,1,723,2074718,2075440,0,1336
gene0587,CP054425.1,100,720,0,0,1,720,2074688,2073969,0,1330
gene0588,CP054425.1,100,1566,0,0,1,1566,2073908,2072343,0,2892
gene0589,CP054425.1,100,1668,0,0,1,1668,2072321,2070654,0,3081
gene0590,CP054425.1,100,897,0,0,1,897,2070642,2069746,0,1657
gene0591,CP054425.1,100,204,0,0,1,204,2069654,2069451,4.79E-100,377
gene0592,CP054425.1,100,1458,0,0,1,1458,2069451,2067994,0,2693
gene0593,CP054425.1,100,2256,0,0,1,2256,2065564,2067819,0,4167
gene0594,CP054425.1,100,117,0,0,1,117,2065411,2065527,5.36E-52,217
gene0595,CP054425.1,100,2418,0,0,1,2418,2062911,2065328,0,4466
gene0596,CP054425.1,100,123,0,0,1,123,2062829,2062707,2.66E-55,228
gene0597,CP054425.1,100,183,0,0,1,183,2062493,2062675,1.98E-88,339
gene0598,CP054425.1,100,1218,0,0,1,1218,2060852,2062069,0,2250
gene0599,CP054425.1,100,267,0,0,1,267,2060725,2060459,6.23E-135,494
gene0600,CP054425.1,100,1878,0,0,1,1878,982108,983985,0,3469
gene0601,CP054425.1,100,435,0,0,1,435,981468,981902,0,804
gene0602,CP054425.1,100,3570,0,0,1,3570,977806,981375,0,6593
gene0603,CP054425.1,100,786,0,0,1,786,976998,977783,0,1452
gene0604,CP054425.1,100,2169,0,0,1,2169,976163,973995,0,4006
gene0605,CP054425.1,100,651,0,0,1,651,973937,973287,0,1203
gene0606,CP054425.1,100,735,0,0,1,735,971827,972561,0,1358
gene0607,CP054425.1,100,498,0,0,1,498,971102,971599,0,920
gene0608,CP054425.1,100,964,0,0,1,964,969650,970613,0,1781
gene0609,CP054425.1,100,291,0,0,1,291,969220,969510,3.13E-148,538
gene0610,CP054425.1,100,456,0,0,1,456,968631,969086,0,843
gene0611,CP054425.1,100,1203,0,0,1,1203,967392,968594,0,2222
gene0612,CP054425.1,100,1245,0,0,1,1245,966036,967280,0,2300
gene0613,CP054425.1,100,1473,0,0,1,1473,964472,965944,0,2721
gene0614,CP054425.1,100,255,0,0,1,255,964447,964193,2.77E-128,472
gene0615,CP054425.1,100,915,0,0,1,915,964006,963092,0,1690
gene0616,CP054425.1,100,2754,0,0,1,2754,963009,960256,0,5086
gene0617,CP054425.1,100,1209,0,0,1,1209,959010,960218,0,2233
gene0618,CP054425.1,100,810,0,0,1,810,958883,958074,0,1496
gene0619,CP054425.1,100,378,0,0,1,378,958009,957632,0,699
gene0620,CP054425.1,100,498,0,0,1,498,956979,957476,0,920
gene0621,CP054425.1,100,402,0,0,1,402,956816,956415,0,743
gene0622,CP054425.1,100,1434,0,0,1,1434,956418,954985,0,2649
gene0623,CP114053.1,100,1032,0,0,1,1032,884027,882996,0,1906
gene0624,CP054425.1,100,1326,0,0,1,1326,953685,952360,0,2449
gene0625,CP054425.1,100,1575,0,0,1,1575,952216,950642,0,2909
gene0626,CP054425.1,100,783,0,0,1,783,950444,949662,0,1447
gene0627,CP054425.1,100,171,0,0,1,171,949477,949647,8.52E-82,316
gene0628,CP054425.1,100,1071,0,0,1,1071,949401,948331,0,1978
gene0629,CP054425.1,100,1203,0,0,1,1203,948207,947005,0,2222
gene0630,CP054425.1,100,789,0,0,1,789,945950,946738,0,1458
gene0631,CP054425.1,100,720,0,0,1,720,945228,945947,0,1330
gene0632,CP054425.1,100,1713,0,0,1,1713,943462,945174,0,3164
gene0633,CP054425.1,100,1224,0,0,1,1224,942118,943341,0,2261
gene0634,CP054425.1,100,1191,0,0,1,1191,940931,942121,0,2200
gene0635,CP054425.1,100,1704,0,0,1,1704,939231,940934,0,3147
gene0636,CP054425.1,100,165,0,0,1,165,939182,939018,1.76E-78,305
gene0638,CP054425.1,100,426,0,0,1,426,938337,938762,0,787
gene0639,CP054425.1,100,867,0,0,1,867,937364,938230,0,1602
gene0640,CP054425.1,100,1737,0,0,1,1737,937128,935392,0,3208
gene0641,CP054425.1,100,1575,0,0,1,1575,933748,935322,0,2909
gene0642,CP054425.1,100,1656,0,0,1,1656,933602,931947,0,3059
gene0643,CP054425.1,100,225,0,0,1,225,931798,931574,1.14E-111,416
gene0644,CP054425.1,100,894,0,0,1,894,930620,931513,0,1652
gene0645,CP054425.1,100,159,0,0,1,159,930379,930537,3.64E-75,294
gene0646,CP054425.1,100,618,0,0,1,618,930362,929745,0,1142
gene0647,CP054425.1,100,843,0,0,1,843,928897,929739,0,1557
gene0648,CP054425.1,100,795,0,0,1,795,928738,927944,0,1469
gene0649,CP054425.1,100,846,0,0,1,846,927844,926999,0,1563
gene0650,CP054425.1,100,276,0,0,1,276,926702,926977,6.43E-140,510
gene0651,CP054425.1,100,222,0,0,1,222,926443,926664,5.20E-110,411
gene0652,CP054425.1,100,1749,0,0,1,1749,924403,926151,0,3230
gene0653,CP054425.1,100,270,0,0,1,270,924081,924350,1.36E-136,499
gene0654,CP054425.1,100,528,0,0,1,528,924107,923580,0,976
gene0655,CP054425.1,100,903,0,0,1,903,922507,923409,0,1668
gene0656,CP054425.1,100,597,0,0,1,597,921624,922220,0,1103
gene0657,CP054425.1,100,813,0,0,1,813,920641,921453,0,1502
gene0658,CP054425.1,100,741,0,0,1,741,919845,920585,0,1369
gene0659,CP054425.1,100,246,0,0,1,246,919369,919614,2.67E-123,455
gene0660,CP054425.1,100,1194,0,0,1,1194,918065,919258,0,2206
gene0661,CP054425.1,100,156,0,0,1,156,918082,917927,1.65E-73,289
gene0662,CP054425.1,100,1128,0,0,1,1128,916673,917800,0,2084
gene0663,CP054425.1,100,1815,0,0,1,1815,914716,916530,0,3352
gene0664,CP054425.1,100,1815,0,0,1,1815,912895,914709,0,3352
gene0665,CP054425.1,100,1164,0,0,1,1164,911687,912850,0,2150
gene0666,CP054425.1,100,1044,0,0,1,1044,910593,911636,0,1929
gene0667,CP054425.1,100,168,0,0,1,168,910619,910452,3.88E-80,311
gene0668,CP054425.1,100,129,0,0,1,129,910364,910492,1.31E-58,239
gene0669,CP054425.1,100,804,0,0,1,804,910334,909531,0,1485
gene0670,CP054425.1,100,789,0,0,1,789,909515,908727,0,1458
gene0671,CP054425.1,100,252,0,0,1,252,908383,908634,1.27E-126,466
gene0672,CP054425.1,100,1116,0,0,1,1116,907187,908302,0,2061
gene0673,CP054425.1,100,156,0,0,1,156,907099,906944,1.65E-73,289
gene0674,CP054425.1,100,903,0,0,1,903,905997,906899,0,1668
gene0675,CP054425.1,100,792,0,0,1,792,905140,905931,0,1463
gene0676,CP054425.1,100,675,0,0,1,675,904473,905147,0,1247
gene0677,CP054425.1,100,756,0,0,1,756,903731,904486,0,1397
gene0678,CP054425.1,100,651,0,0,1,651,903593,902943,0,1203
gene0679,CP054425.1,100,2244,0,0,1,2244,900691,902934,0,4145
gene0680,CP054425.1,100,708,0,0,1,708,900532,899825,0,1308
gene0681,CP054425.1,100,591,0,0,1,591,898617,899207,0,1092
gene0682,CP054425.1,100,852,0,0,1,852,897586,898437,0,1574
gene0683,CP054425.1,100,3384,0,0,1,3384,894134,897517,0,6250
gene0684,CP054425.1,100,1227,0,0,1,1227,892906,894132,0,2266
gene0685,CP054425.1,100,564,0,0,1,564,892156,892719,0,1042
gene0686,CP054425.1,100,576,0,0,1,576,891526,892101,0,1064
gene0687,CP054425.1,100,768,0,0,1,768,891409,890642,0,1419
gene0688,CP054425.1,100,465,0,0,1,465,890645,890181,0,859
gene0689,CP054425.1,100,318,0,0,1,318,890176,889859,3.39E-163,588
gene0690,CP054425.1,100,1971,0,0,1,1971,887850,889820,0,3640
gene0691,CP054425.1,100,1119,0,0,1,1119,886628,887746,0,2067
gene0692,CP054425.1,100,2766,0,0,1,2766,883674,886439,0,5108
gene0693,CP054425.1,100,3546,0,0,1,3546,880064,883609,0,6549
gene0694,CP054425.1,100,2229,0,0,1,2229,879873,877645,0,4117
gene0695,CP054425.1,100,825,0,0,1,825,876834,877658,0,1524
gene0696,CP054425.1,100,1266,0,0,1,1266,875560,876825,0,2338
gene0697,CP054425.1,100,795,0,0,1,795,874380,875174,0,1469
gene0698,CP054425.1,100,1023,0,0,1,1023,873287,874309,0,1890
gene0699,CP054425.1,100,654,0,0,1,654,873044,872391,0,1208
gene0700,CP054425.1,100,2415,0,0,1,2415,872260,869846,0,4460
gene0701,CP054425.1,100,345,0,0,1,345,869813,869469,3.64E-178,638
gene0702,CP054425.1,100,336,0,0,1,336,869035,869370,3.56E-173,621
gene0703,CP054425.1,100,732,0,0,1,732,868958,868227,0,1352
gene0704,CP054425.1,100,987,0,0,1,987,867106,868092,0,1823
gene0705,CP054425.1,100,1458,0,0,1,1458,866778,865321,0,2693
gene0706,CP054425.1,100,1287,0,0,1,1287,864029,865315,0,2377
gene0707,CP054425.1,100,2568,0,0,1,2568,861273,863840,0,4743
gene0708,CP054425.1,100,1074,0,0,1,1074,860066,861139,0,1984
gene0709,CP054425.1,100,1542,0,0,1,1542,858300,859841,0,2848
gene0710,CP054425.1,100,1110,0,0,1,1110,857102,858211,0,2050
gene0711,CP054425.1,100,678,0,0,1,678,856428,857105,0,1253
gene0712,CP054425.1,100,840,0,0,1,840,855592,856431,0,1552
gene0713,CP054425.1,100,771,0,0,1,771,854802,855572,0,1424
gene0714,CP054425.1,100,1071,0,0,1,1071,854292,853222,0,1978
gene0715,CP054425.1,100,1761,0,0,1,1761,850946,852706,0,3253
gene0716,CP054425.1,100,1344,0,0,1,1344,849528,850871,0,2483
gene0717,CP054425.1,100,153,0,0,1,153,849240,849392,7.50E-72,283
gene0718,CP054425.1,100,1344,0,0,1,1344,849254,847911,0,2483
gene0719,CP054425.1,100,1761,0,0,1,1761,845931,847691,0,3253
gene0720,CP054425.1,100,2586,0,0,1,2586,842993,845578,0,4776
gene0721,CP054425.1,100,966,0,0,1,966,842843,841878,0,1784
gene0722,CP054425.1,100,1188,0,0,1,1188,840516,841703,0,2194
gene0723,CP054425.1,100,390,0,0,1,390,840118,840507,0,721
gene0724,CP054425.1,100,1917,0,0,1,1917,838132,840048,0,3541
gene0725,CP054425.1,100,732,0,0,1,732,837296,838027,0,1352
gene0726,CP054425.1,100,588,0,0,1,588,836716,837303,0,1086
gene0727,CP054425.1,100,291,0,0,1,291,836422,836132,3.13E-148,538
gene0728,CP054425.1,100,1644,0,0,1,1644,834301,835944,0,3037
gene0729,CP054425.1,100,159,0,0,1,159,834300,834142,3.64E-75,294
gene0730,CP054425.1,100,240,0,0,1,240,833842,834081,5.62E-120,444
gene0731,CP054425.1,100,684,0,0,1,684,832929,833612,0,1264
gene0732,CP054425.1,100,690,0,0,1,690,832813,832124,0,1275
gene0733,CP054425.1,100,1080,0,0,1,1080,832085,831006,0,1995
gene0734,CP054425.1,100,951,0,0,1,951,831009,830059,0,1757
gene0735,CP054425.1,100,465,0,0,1,465,829972,829508,0,859
gene0736,CP054425.1,100,1059,0,0,1,1059,829511,828453,0,1956
gene0737,CP054425.1,100,1053,0,0,1,1053,828477,827425,0,1945
gene0738,CP054425.1,100,630,0,0,1,630,827455,826826,0,1164
gene0739,CP054425.1,100,321,0,0,1,321,826558,826238,7.37E-165,593
gene0740,CP054425.1,100,1548,0,0,1,1548,826241,824694,0,2859
gene0741,CP054425.1,100,114,0,0,1,114,824535,824422,2.40E-50,211
gene0742,CP054425.1,100,144,0,0,1,144,824090,824233,6.98E-67,267
gene0743,CP054425.1,100,1437,0,0,1,1437,824066,822630,0,2654
gene0744,CP054425.1,100,2562,0,0,1,2562,822516,819955,0,4732
gene0745,CP054425.1,100,282,0,0,1,282,819800,819519,3.04E-143,521
gene0746,CP054425.1,100,237,0,0,1,237,819166,819402,2.58E-118,438
gene0747,CP054425.1,100,318,0,0,1,318,818830,819147,3.39E-163,588
gene0748,CP054425.1,100,384,0,0,1,384,818765,818382,0,710
gene0749,CP054425.1,100,147,0,0,1,147,818081,818227,1.54E-68,272
gene0750,CP054425.1,100,534,0,0,1,534,1406021,1405488,0,987
gene0751,CP054425.1,100,246,0,0,1,246,1405202,1405447,2.67E-123,455
gene0752,CP054425.1,100,516,0,0,1,516,1404649,1405164,0,953
gene0753,CP054425.1,100,147,0,0,1,147,1404414,1404560,1.54E-68,272
gene0754,CP054425.1,100,1167,0,0,1,1167,1402914,1404080,0,2156
gene0755,CP054425.1,100,1254,0,0,1,1254,1400523,1401776,0,2316
gene0756,CP054425.1,100,174,0,0,1,174,1400278,1400451,1.87E-83,322
gene0757,CP054425.1,100,303,0,0,1,303,1399414,1399716,7.00E-155,560
gene0758,CP054425.1,100,183,0,0,1,183,1398896,1399078,1.98E-88,339
gene0759,CP054425.1,100,627,0,0,1,627,1398273,1398899,0,1158
gene0760,CP054425.1,100,228,0,0,1,228,1398138,1397911,2.48E-113,422
gene0761,CP054425.1,100,267,0,0,1,267,1397621,1397887,6.23E-135,494
gene0762,CP054425.1,100,216,0,0,1,216,1397357,1397572,1.09E-106,399
